Line item,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,Total/End
DRIVERS,,,,,,,,,,,,,,,,,,,,,,,,,
Verified pros (count),110,120,130,140,150,160,170,180,190,200,210,220,238,256,274,292,310,328,346,364,382,400,418,436,436
Pro conversion rate %,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,14,15,16,17,17,18,19,19,20,20
Pro subscribers (count),4,6,7,9,10,12,14,16,18,21,23,26,29,33,38,42,47,52,57,63,68,74,81,87,87
,,,,,,,,,,,,,,,,,,,,,,,,,
CASH IN,,,,,,,,,,,,,,,,,,,,,,,,,
Pro subscriptions,116,174,203,261,290,348,406,464,522,609,667,754,841,957,1102,1218,1363,1508,1653,1827,1972,2146,2349,2523,24273
Service fees (5% capped),55,70,88,107,127,150,174,200,227,257,288,320,367,417,471,527,586,649,715,783,855,930,1009,1090,10462
Total revenue,171,244,291,368,417,498,580,664,749,866,955,1074,1208,1374,1573,1745,1949,2157,2368,2610,2827,3076,3358,3613,34735
Loan disbursement,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
Founder capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
CASH OUT — OPERATING,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud infrastructure,113,116,119,122,125,128,131,134,137,140,143,146,151,157,162,168,173,178,184,189,195,200,205,211,3727
AI API,117,122,126,131,135,140,145,150,155,161,166,172,180,190,200,210,220,230,241,252,263,274,286,298,4564
Payment processing,5,7,9,11,13,15,17,20,22,26,29,32,36,41,47,52,58,65,71,78,85,92,101,108,1040
Software & tools,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,2880
Insurance,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2640
Accounting & bookkeeping,175,175,175,175,175,175,175,175,175,175,175,675,175,175,175,175,175,175,175,175,175,175,175,675,5200
Marketing & advertising,2500,2500,2500,2500,2500,2500,2500,2500,2500,1800,1800,1800,1800,1800,1800,1800,1800,1800,1200,1200,1200,1200,1200,1200,45900
Incorporation & legal (one-time),2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
Founder salary (T4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contingency,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2400
Total operating costs,5740,3250,3259,3269,3278,3288,3298,3309,3319,2632,2643,3155,2672,2693,2714,2735,2756,2778,2201,2224,2248,2271,2297,2822,70851
,,,,,,,,,,,,,,,,,,,,,,,,,
CASH OUT — FINANCING,,,,,,,,,,,,,,,,,,,,,,,,,
Loan repayment (P+I),0,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,1533,35259
,,,,,,,,,,,,,,,,,,,,,,,,,
CASH POSITION,,,,,,,,,,,,,,,,,,,,,,,,,
Opening cash,0,69431,64892,60391,55957,51563,47240,42989,38811,34708,31409,28188,24574,21577,18725,16051,13528,11188,9034,7668,6521,5567,4839,4367,
Net cash flow,69431,-4539,-4501,-4434,-4394,-4323,-4251,-4178,-4103,-3299,-3221,-3614,-2997,-2852,-2674,-2523,-2340,-2154,-1366,-1147,-954,-728,-472,-742,3625
Closing cash,69431,64892,60391,55957,51563,47240,42989,38811,34708,31409,28188,24574,21577,18725,16051,13528,11188,9034,7668,6521,5567,4839,4367,3625,3625
